City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Sófia,Bulgária,455,164.62,Ryanair,SOF,2023-06-08,2023-06-15,http://kayak.com/flights/OPO-SOF/2023-06-08/2023-06-15/
Telavive,Israel,1995,404.16,Brussels Airlines,TLV,2023-06-16,2023-06-23,http://kayak.com/flights/OPO-TLV/2023-06-16/2023-06-23/
Tirana,Albânia,985,261.73,Lufthansa,TIA,2023-06-25,2023-06-30,http://kayak.com/flights/OPO-TIA/2023-06-25/2023-06-30/
Tivat,Montenegro,1085,736.17,Várias companhias aéreas,TIV,2023-06-06,2023-06-13,http://kayak.com/flights/OPO-TIV/2023-06-06/2023-06-13/
Toronto,Canadá,1460,423.58,Iberia,YYZ,2023-06-06,2023-06-13,http://kayak.com/flights/OPO-YYZ/2023-06-06/2023-06-13/
Tóquio,Japão,1750,1022.87,SWISS,NRT,2023-06-17,2023-06-24,http://kayak.com/flights/OPO-NRT/2023-06-17/2023-06-24/
Túnis,Tunísia,485,196.99,Várias companhias aéreas,TUN,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-TUN/2023-06-03/2023-06-10/
Valência,Espanha,240,79.54,Várias companhias aéreas,VLC,2023-06-26,2023-06-30,http://kayak.com/flights/OPO-VLC/2023-06-26/2023-06-30/
Velas,Portugal,1240,175.72,Várias companhias aéreas,SJZ,2023-06-14,2023-06-21,http://kayak.com/flights/OPO-SJZ/2023-06-14/2023-06-21/
Veneza,Itália,540,111.91,Ryanair,VCE,2023-06-01,2023-06-05,http://kayak.com/flights/OPO-VCE/2023-06-01/2023-06-05/
Verona,Itália,990,120.23,Várias companhias aéreas,VRN,2023-06-13,2023-06-17,http://kayak.com/flights/OPO-VRN/2023-06-13/2023-06-17/
Viena,Áustria,1175,131.33,Várias companhias aéreas,VIE,2023-06-06,2023-06-13,http://kayak.com/flights/OPO-VIE/2023-06-06/2023-06-13/
Vigo,Espanha,645,81.39,Air Europa,VGO,2023-06-01,2023-06-07,http://kayak.com/flights/OPO-VGO/2023-06-01/2023-06-07/
Vilnius,Lituânia,970,341.27,KLM,VNO,2023-06-07,2023-06-14,http://kayak.com/flights/OPO-VNO/2023-06-07/2023-06-14/
Zagreb,Croácia,660,170.17,Ryanair,ZAG,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-ZAG/2023-06-03/2023-06-10/
Zanzibar,Tanzânia,1590,803.68,KLM,ZNZ,2023-06-17,2023-06-24,http://kayak.com/flights/OPO-ZNZ/2023-06-17/2023-06-24/
Zaquinto,Grécia,1430,346.82,SWISS,ZTH,2023-06-15,2023-06-22,http://kayak.com/flights/OPO-ZTH/2023-06-15/2023-06-22/
Zurique,Suíça,155,75.84,easyJet,ZRH,2023-06-07,2023-06-14,http://kayak.com/flights/OPO-ZRH/2023-06-07/2023-06-14/
