City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Knock,Irlanda,1010,211.8,Ryanair,NOC,2023-05-01,2023-05-05,http://kayak.com/flights/OPO-NOC/2023-05-01/2023-05-05/,211.8,1.0
Târgu Mureş,Roménia,2315,397.93,Várias companhias aéreas,TGM,2023-08-26,2023-09-01,http://kayak.com/flights/OPO-TGM/2023-08-26/2023-09-01/,397.93,1.0
Béziers,França,1480,178.8,Ryanair,BZR,2023-05-11,2023-05-15,http://kayak.com/flights/OPO-BZR/2023-05-11/2023-05-15/,178.8,1.0
San Sebastián de la Gomera,Espanha,565,505.21,Iberia,GMZ,2023-09-05,2023-09-12,http://kayak.com/flights/OPO-GMZ/2023-09-05/2023-09-12/,505.21,1.0
Vila do Porto,Portugal,270,237.48,Várias companhias aéreas,SMA,2023-06-29,2023-07-06,http://kayak.com/flights/OPO-SMA/2023-06-29/2023-07-06/,237.48,1.0
Santa Cruz das Flores,Portugal,1270,252.15,Várias companhias aéreas,FLW,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-FLW/2023-06-03/2023-06-10/,252.15,1.0
Plovdiv,Bulgária,1340,246.65,Várias companhias aéreas,PDV,2023-06-21,2023-06-28,http://kayak.com/flights/OPO-PDV/2023-06-21/2023-06-28/,246.65,1.0
Agios Kirykos,Grécia,1655,370.42,Várias companhias aéreas,JIK,2023-06-12,2023-06-19,http://kayak.com/flights/OPO-JIK/2023-06-12/2023-06-19/,370.42,1.0
Sitia,Grécia,1265,416.27,Várias companhias aéreas,JSH,2023-09-06,2023-09-13,http://kayak.com/flights/OPO-JSH/2023-09-06/2023-09-13/,416.27,1.0
Velas,Portugal,435,277.82,Várias companhias aéreas,SJZ,2023-04-25,2023-04-30,http://kayak.com/flights/OPO-SJZ/2023-04-25/2023-04-30/,277.82,1.0
Balikpapan,Indonésia,2555,1103.01,Várias companhias aéreas,BPN,2023-10-23,2023-10-30,http://kayak.com/flights/OPO-BPN/2023-10-23/2023-10-30/,1103.01,1.0
Sanliurfa,Turquia,1515,586.81,Várias companhias aéreas,GNY,2023-07-05,2023-07-12,http://kayak.com/flights/OPO-GNY/2023-07-05/2023-07-12/,586.81,1.0
Melilla,Espanha,865,146.71,Iberia,MLN,2023-07-22,2023-07-29,http://kayak.com/flights/OPO-MLN/2023-07-22/2023-07-29/,146.71,1.0
Sukhothai,Tailândia,2650,940.72,Várias companhias aéreas,THS,2023-10-08,2023-10-15,http://kayak.com/flights/OPO-THS/2023-10-08/2023-10-15/,940.72,1.0
Corvo Island,Portugal,1590,279.65,Várias companhias aéreas,CVU,2023-07-03,2023-07-10,http://kayak.com/flights/OPO-CVU/2023-07-03/2023-07-10/,279.65,1.0
Cabinda,Angola,1675,679.41,Várias companhias aéreas,CAB,2023-05-08,2023-05-15,http://kayak.com/flights/OPO-CAB/2023-05-08/2023-05-15/,679.41,1.0
São Pedro,Cabo Verde,875,969.15,Várias companhias aéreas,VXE,2023-08-21,2023-08-28,http://kayak.com/flights/OPO-VXE/2023-08-21/2023-08-28/,969.15,1.0
Juiz De Fora,Brasil,1455,1017.74,Várias companhias aéreas,IZA,2023-12-22,2023-12-29,http://kayak.com/flights/OPO-IZA/2023-12-22/2023-12-29/,1017.74,1.0
Berna,Suíça,476,422.69,TAP AIR PORTUGAL,ZDJ,2023-05-19,2023-05-23,http://kayak.com/flights/OPO-ZDJ/2023-05-19/2023-05-23/,422.69,1.0
Santa Cruz da Graciosa,Portugal,535,170.54,Várias companhias aéreas,GRW,2023-05-19,2023-05-23,http://kayak.com/flights/OPO-GRW/2023-05-19/2023-05-23/,170.54,1.0
Joinville,Brasil,2100,2232.61,Várias companhias aéreas,JOI,2023-05-27,2023-06-02,http://kayak.com/flights/OPO-JOI/2023-05-27/2023-06-02/,2232.61,1.0
Bissau,Guiné-Bissau,1255,1013.16,TAP AIR PORTUGAL,OXB,2023-12-28,2024-01-04,http://kayak.com/flights/OPO-OXB/2023-12-28/2024-01-04/,1013.16,1.0
Gustávia,São Bartolomeu,1585,1547.7,Várias companhias aéreas,SBH,2023-06-09,2023-06-16,http://kayak.com/flights/OPO-SBH/2023-06-09/2023-06-16/,1547.7,1.0
Asahikawa,Japão,2055,1243.29,ANA,AKJ,2023-10-11,2023-10-18,http://kayak.com/flights/OPO-AKJ/2023-10-11/2023-10-18/,1243.29,1.0
Thal,Suíça,1690,1077.34,Várias companhias aéreas,ACH,2023-04-20,2023-04-24,http://kayak.com/flights/OPO-ACH/2023-04-20/2023-04-24/,1077.34,1.0
Mont Lubin,Maurícia,2295,1495.44,Várias companhias aéreas,RRG,2023-09-04,2023-09-11,http://kayak.com/flights/OPO-RRG/2023-09-04/2023-09-11/,1495.44,1.0
Kobe,Japão,3010,1748.5,Várias companhias aéreas,UKB,2023-10-11,2023-10-18,http://kayak.com/flights/OPO-UKB/2023-10-11/2023-10-18/,1748.5,1.0
