City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Brisbane,Austrália,2160,1498.68,Várias companhias aéreas,BNE,2024-03-06,2024-03-13,http://kayak.com/flights/LIS-BNE/2024-03-06/2024-03-13/,1498.68,1.0,2024,3,LIS,1498.92,1498.92,1498.92,2023-03-20 02:41:09,True,-0.2400000000000091,-0.016011528300376877
Tawau,Malásia,2485,1374.03,Várias companhias aéreas,TWU,2023-08-24,2023-08-28,http://kayak.com/flights/LIS-TWU/2023-08-24/2023-08-28/,1374.03,1.0,2023,8,LIS,1374.25,1374.25,1374.25,2023-03-20 02:41:09,True,-0.22000000000002728,-0.016008732035657797
Incheon,Coreia do Sul,1220,812.61,Lufthansa,ICN,2024-01-07,2024-01-11,http://kayak.com/flights/LIS-ICN/2024-01-07/2024-01-11/,812.61,1.0,2024,1,LIS,812.74,812.74,812.74,2023-03-20 02:41:09,True,-0.12999999999999545,-0.01599527524177418
Seul,Coreia do Sul,1220,812.61,Lufthansa,SEL,2024-01-07,2024-01-11,http://kayak.com/flights/LIS-SEL/2024-01-07/2024-01-11/,812.61,1.0,2024,1,LIS,812.74,812.74,812.74,2023-03-20 02:41:09,True,-0.12999999999999545,-0.01599527524177418
Nagua,República Dominicana,2755,2315.04,Várias companhias aéreas,AZS,2023-04-16,2023-04-23,http://kayak.com/flights/LIS-AZS/2023-04-16/2023-04-23/,2315.04,1.0,2023,4,LIS,2315.41,2315.41,2315.41,2023-03-20 02:41:09,True,-0.36999999999989086,-0.015979891250356995
Rabil,Cabo Verde,255,626.09,TAP AIR PORTUGAL,BVC,2024-02-03,2024-02-10,http://kayak.com/flights/LIS-BVC/2024-02-03/2024-02-10/,626.09,1.0,2024,2,LIS,626.19,626.19,626.19,2023-03-20 02:41:09,True,-0.10000000000002274,-0.015969593893230924
Longyearbyen,Noruega,3120,626.09,Várias companhias aéreas,LYR,2023-06-21,2023-06-25,http://kayak.com/flights/LIS-LYR/2023-06-21/2023-06-25/,626.09,1.0,2023,6,LIS,626.19,626.19,626.19,2023-03-20 02:41:09,True,-0.10000000000002274,-0.015969593893230924
Buenos Aires,Argentina,2140,688.89,LATAM Airlines,BUE,2023-10-28,2023-11-04,http://kayak.com/flights/LIS-BUE/2023-10-28/2023-11-04/,688.89,1.0,2023,10,LIS,689.0,689.0,689.0,2023-03-20 02:41:09,True,-0.11000000000001364,-0.015965166908565115
Mo i Rana,Noruega,2070,940.08,Várias companhias aéreas,MQN,2023-05-25,2023-05-31,http://kayak.com/flights/LIS-MQN/2023-05-25/2023-05-31/,940.08,1.0,2023,5,LIS,940.23,940.23,940.23,2023-03-20 02:41:09,True,-0.14999999999997726,-0.015953543281960508
Ibagué,Colômbia,1676,2385.33,Avianca,IBE,2023-04-06,2023-04-11,http://kayak.com/flights/LIS-IBE/2023-04-06/2023-04-11/,2385.33,1.0,2023,4,LIS,2385.71,2385.71,2385.71,2023-03-20 02:41:09,True,-0.38000000000010914,-0.015928172326062646
Kuching,Malásia,2590,1130.34,Várias companhias aéreas,KCH,2023-08-24,2023-08-28,http://kayak.com/flights/LIS-KCH/2023-08-24/2023-08-28/,1130.34,1.0,2023,8,LIS,1130.52,1130.52,1130.52,2023-03-20 02:41:09,True,-0.18000000000006366,-0.01592187665853445
San Sebastián de la Gomera,Espanha,1625,313.99,Várias companhias aéreas,GMZ,2023-04-17,2023-04-24,http://kayak.com/flights/LIS-GMZ/2023-04-17/2023-04-24/,313.99,1.0,2023,4,LIS,314.04,401.82703703703703,405.19,2023-03-20 02:41:09,True,-0.05000000000001137,-0.01592153865749948
Koh Samui,Tailândia,1870,1068.48,Várias companhias aéreas,USM,2023-05-11,2023-05-18,http://kayak.com/flights/LIS-USM/2023-05-11/2023-05-18/,1068.48,1.0,2023,5,LIS,1068.65,1068.65,1068.65,2023-03-20 02:41:09,True,-0.17000000000007276,-0.01590792120900882
Phnom Penh,Cambodja,3055,2074.16,Finnair,PNH,2023-07-07,2023-07-14,http://kayak.com/flights/LIS-PNH/2023-07-07/2023-07-14/,2074.16,1.0,2023,7,LIS,2074.49,2074.49,2074.49,2023-03-20 02:41:09,True,-0.32999999999992724,-0.01590752425897099
Goiânia,Brasil,1590,691.7,LATAM Airlines,GYN,2023-11-18,2023-11-25,http://kayak.com/flights/LIS-GYN/2023-11-18/2023-11-25/,691.7,1.0,2023,11,LIS,691.81,754.0899999999999,753.04,2023-03-20 02:41:09,True,-0.10999999999989996,-0.015900319451858165
Chiang Mai,Tailândia,2070,1006.62,Emirates,CNX,2023-09-06,2023-09-13,http://kayak.com/flights/LIS-CNX/2023-09-06/2023-09-13/,1006.62,1.0,2023,9,LIS,1006.78,1006.78,1006.78,2023-03-20 02:41:09,True,-0.15999999999996817,-0.015892250541326623
Reno,Estados Unidos,1474,818.23,British Airways,RNO,2023-08-26,2023-09-02,http://kayak.com/flights/LIS-RNO/2023-08-26/2023-09-02/,818.23,1.0,2023,8,LIS,818.36,1367.1584615384613,1606.52,2023-03-20 02:41:09,True,-0.12999999999999545,-0.01588542939537556
