City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
El Calafate,Argentina,2285,2160.58,Várias companhias aéreas,FTE,2023-07-25,2023-07-29,http://kayak.com/flights/MAD-FTE/2023-07-25/2023-07-29/,2160.58,1,2023,7,MAD,2163.34,2163.34,2163.34,2023-05-21 09:18:27,True,-2.7600000000002183,-0.12758050052235054,Tuesday,Saturday,4 days
Detroit,Estados Unidos,1962,594.97,Várias companhias aéreas,DTW,2023-10-12,2023-10-17,http://kayak.com/flights/MAD-DTW/2023-10-12/2023-10-17/,594.97,1,2023,10,MAD,595.73,619.8833333333333,625.7,2023-05-21 09:18:27,True,-0.7599999999999909,-0.1275745723733891,Thursday,Tuesday,5 days
Tuxtla Gutiérrez,México,2266,916.05,Várias companhias aéreas,TGZ,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-TGZ/2023-06-19/2023-06-26/,916.05,1,2023,6,MAD,917.22,917.22,917.22,2023-05-21 09:18:27,True,-1.1700000000000728,-0.12755936416563887,Monday,Monday,7 days
Luanda,Angola,2540,524.65,Várias companhias aéreas,LAD,2024-02-03,2024-02-09,http://kayak.com/flights/MAD-LAD/2024-02-03/2024-02-09/,524.65,1,2024,2,MAD,525.32,525.32,525.32,2023-05-21 09:18:27,True,-0.6700000000000728,-0.12754130815504316,Saturday,Friday,6 days
Peoria,Estados Unidos,1872,806.87,Iberia,PIA,2023-12-04,2023-12-10,http://kayak.com/flights/MAD-PIA/2023-12-04/2023-12-10/,806.87,1,2023,12,MAD,807.9,807.9,807.9,2023-05-21 09:18:27,True,-1.0299999999999727,-0.12749102611709032,Monday,Sunday,6 days
Moline,Estados Unidos,2272,806.87,Várias companhias aéreas,MLI,2023-12-04,2023-12-10,http://kayak.com/flights/MAD-MLI/2023-12-04/2023-12-10/,806.87,1,2023,12,MAD,807.9,807.9,807.9,2023-05-21 09:18:27,True,-1.0299999999999727,-0.12749102611709032,Monday,Sunday,6 days
Juliaca,Perú,1920,1410.16,LATAM Airlines,JUL,2023-08-21,2023-08-28,http://kayak.com/flights/MAD-JUL/2023-08-21/2023-08-28/,1410.16,1,2023,8,MAD,1411.96,1411.96,1411.96,2023-05-21 09:18:27,True,-1.7999999999999545,-0.12748236493951348,Monday,Monday,7 days
Bucara,Uzbequistão,1680,854.06,Várias companhias aéreas,BHK,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-BHK/2023-06-19/2023-06-26/,854.06,1,2023,6,MAD,855.15,990.4150000000001,1034.89,2023-05-21 09:18:27,True,-1.0900000000000318,-0.12746301818394806,Monday,Monday,7 days
Fort McMurray,Canadá,1920,752.27,Air Canada,YMM,2023-10-25,2023-10-31,http://kayak.com/flights/MAD-YMM/2023-10-25/2023-10-31/,752.27,1,2023,10,MAD,753.23,877.3146666666667,938.89,2023-05-21 09:18:27,True,-0.9600000000000364,-0.12745111055056707,Wednesday,Tuesday,6 days
Saint John's,Antígua e Barbuda,2085,1065.95,American Airlines,ANU,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-ANU/2023-06-19/2023-06-26/,1065.95,1,2023,6,MAD,1067.31,1085.94,1078.95,2023-05-21 09:18:27,True,-1.3599999999999,-0.12742314791390505,Monday,Monday,7 days
Benim,Nigéria,2505,1732.17,Várias companhias aéreas,BNI,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-BNI/2023-06-19/2023-06-26/,1732.17,1,2023,6,MAD,1734.38,1734.38,1734.38,2023-05-21 09:18:27,True,-2.2100000000000364,-0.12742305607767826,Monday,Monday,7 days
Cockburn Town,Ilhas Turcas e Caicos,1890,1277.84,Várias companhias aéreas,GDT,2023-06-18,2023-06-25,http://kayak.com/flights/MAD-GDT/2023-06-18/2023-06-25/,1277.84,1,2023,6,MAD,1279.47,1279.47,1279.47,2023-05-21 09:18:27,True,-1.6300000000001091,-0.1273965001133367,Sunday,Sunday,7 days
Cedar Rapids,Estados Unidos,2481,744.87,United Airlines,CID,2023-12-04,2023-12-10,http://kayak.com/flights/MAD-CID/2023-12-04/2023-12-10/,744.87,1,2023,12,MAD,745.82,745.82,745.82,2023-05-21 09:18:27,True,-0.9500000000000455,-0.12737657879918013,Monday,Sunday,6 days
Milwaukee,Estados Unidos,1844,1035.42,Várias companhias aéreas,MKE,2023-07-20,2023-07-27,http://kayak.com/flights/MAD-MKE/2023-07-20/2023-07-27/,1035.42,1,2023,7,MAD,1036.74,1080.6875862068966,1066.45,2023-05-21 09:18:27,True,-1.3199999999999363,-0.12732218299669507,Thursday,Thursday,7 days
Portland,Estados Unidos,1847,604.23,United Airlines,PWM,2023-09-14,2023-09-19,http://kayak.com/flights/MAD-PWM/2023-09-14/2023-09-19/,604.23,1,2023,9,MAD,605.0,665.2144736842106,653.9,2023-05-21 09:18:27,True,-0.7699999999999818,-0.12727272727272426,Thursday,Tuesday,5 days
Dutch Harbor,Estados Unidos,2390,3853.88,Várias companhias aéreas,DUT,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-DUT/2023-06-19/2023-06-26/,3853.88,1,2023,6,MAD,3858.79,3858.79,3858.79,2023-05-21 09:18:27,True,-4.9099999999998545,-0.12724195926702034,Monday,Monday,7 days
Porto Plata,República Dominicana,1060,989.15,Várias companhias aéreas,POP,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-POP/2023-06-19/2023-06-26/,989.15,1,2023,6,MAD,990.41,1059.4424137931035,1028.16,2023-05-21 09:18:27,True,-1.259999999999991,-0.12722004018537686,Monday,Monday,7 days
Hermópolis,Grécia,935,533.9,Várias companhias aéreas,JSY,2023-08-14,2023-08-18,http://kayak.com/flights/MAD-JSY/2023-08-14/2023-08-18/,533.9,1,2023,8,MAD,534.58,654.3495652173914,591.64,2023-05-21 09:18:27,True,-0.6800000000000637,-0.1272026637734415,Monday,Friday,4 days
Manaus,Brasil,2515,824.45,LATAM Airlines,MAO,2023-06-20,2023-06-25,http://kayak.com/flights/MAD-MAO/2023-06-20/2023-06-25/,824.45,1,2023,6,MAD,825.5,914.064705882353,932.645,2023-05-21 09:18:27,True,-1.0499999999999545,-0.12719563900665712,Tuesday,Sunday,5 days
