City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Cascavel,Brasil,1860,1416.46,LATAM Airlines,CAC,2023-04-22,2023-04-29,http://kayak.com/flights/LIS-CAC/2023-04-22/2023-04-29/,1416.46,1,2023,4,LIS,1426.71,1426.71,1426.71,2023-03-24 20:14:07,True,-10.25,-0.7184361222673143,Saturday,Saturday,7 days
Jaguaruna,Brasil,1585,1594.78,Várias companhias aéreas,JJG,2023-04-21,2023-04-28,http://kayak.com/flights/LIS-JJG/2023-04-21/2023-04-28/,1594.78,1,2023,4,LIS,1606.32,1606.32,1606.32,2023-03-24 20:14:07,True,-11.539999999999964,-0.7184122715274642,Friday,Friday,7 days
Fernando de Noronha,Brasil,2145,1185.75,Azul,FEN,2023-10-20,2023-10-27,http://kayak.com/flights/LIS-FEN/2023-10-20/2023-10-27/,1185.75,1,2023,10,LIS,1194.33,1381.6707142857142,1484.18,2023-03-24 20:14:07,True,-8.579999999999927,-0.7183944136042741,Friday,Friday,7 days
Lampedusa,Itália,800,392.49,Várias companhias aéreas,LMP,2023-09-04,2023-09-11,http://kayak.com/flights/LIS-LMP/2023-09-04/2023-09-11/,392.49,1,2023,9,LIS,395.33,500.886875,512.02,2023-03-24 20:14:07,True,-2.839999999999975,-0.7183871702122214,Monday,Monday,7 days
Porto de Espanha,Trinidad e Tobago,2071,1539.63,KLM,POS,2023-04-22,2023-04-28,http://kayak.com/flights/LIS-POS/2023-04-22/2023-04-28/,1539.63,1,2023,4,LIS,1550.77,1906.3672727272728,2038.51,2023-03-24 20:14:07,True,-11.139999999999873,-0.7183528182773637,Saturday,Friday,6 days
Pula,Croácia,720,192.11,Várias companhias aéreas,PUY,2023-04-26,2023-05-02,http://kayak.com/flights/LIS-PUY/2023-04-26/2023-05-02/,192.11,1,2023,4,LIS,193.5,391.9953125,459.18,2023-03-24 20:14:07,True,-1.3899999999999864,-0.7183462532299671,Wednesday,Tuesday,6 days
Konya,Turquia,2680,576.33,Várias companhias aéreas,KYA,2023-07-01,2023-07-08,http://kayak.com/flights/LIS-KYA/2023-07-01/2023-07-08/,576.33,1,2023,7,LIS,580.5,580.5,580.5,2023-03-24 20:14:07,True,-4.169999999999959,-0.7183462532299671,Saturday,Saturday,7 days
Ilhéus,Brasil,2065,1534.12,LATAM Airlines,IOS,2023-07-17,2023-07-24,http://kayak.com/flights/LIS-IOS/2023-07-17/2023-07-24/,1534.12,1,2023,7,LIS,1545.22,1545.22,1545.22,2023-03-24 20:14:07,True,-11.100000000000136,-0.718344313431106,Monday,Monday,7 days
Cidade de Ho Chi Minh,Vietname,1750,765.68,Iberia,SGN,2023-09-05,2023-09-11,http://kayak.com/flights/LIS-SGN/2023-09-05/2023-09-11/,765.68,1,2023,9,LIS,771.22,815.5949999999999,771.22,2023-03-24 20:14:07,True,-5.540000000000077,-0.7183423666398794,Tuesday,Monday,6 days
Matamoros,México,1460,949.52,Aeromexico,MAM,2023-10-06,2023-10-13,http://kayak.com/flights/LIS-MAM/2023-10-06/2023-10-13/,949.52,1,2023,10,LIS,956.39,956.39,956.39,2023-03-24 20:14:07,True,-6.8700000000000045,-0.7183262058365316,Friday,Friday,7 days
Novo Laredo,México,1557,949.52,Aeromexico,NLD,2023-10-06,2023-10-13,http://kayak.com/flights/LIS-NLD/2023-10-06/2023-10-13/,949.52,1,2023,10,LIS,956.39,956.39,956.39,2023-03-24 20:14:07,True,-6.8700000000000045,-0.7183262058365316,Friday,Friday,7 days
Freeport,Bahamas,1752,1105.78,American Airlines,FPO,2023-08-31,2023-09-06,http://kayak.com/flights/LIS-FPO/2023-08-31/2023-09-06/,1105.78,1,2023,8,LIS,1113.78,1196.262,1131.22,2023-03-24 20:14:07,True,-8.0,-0.7182747041606062,Thursday,Wednesday,6 days
Abbotsford,Canadá,1540,888.85,Várias companhias aéreas,YXX,2023-07-01,2023-07-08,http://kayak.com/flights/LIS-YXX/2023-07-01/2023-07-08/,888.85,1,2023,7,LIS,895.28,968.09125,1011.115,2023-03-24 20:14:07,True,-6.42999999999995,-0.7182110624609005,Saturday,Saturday,7 days
Temae,Polinésia Francesa,2595,2638.97,Várias companhias aéreas,MOZ,2023-08-29,2023-09-05,http://kayak.com/flights/LIS-MOZ/2023-08-29/2023-09-05/,2638.97,1,2023,8,LIS,2658.06,2658.06,2658.06,2023-03-24 20:14:07,True,-19.090000000000146,-0.7181929678035915,Tuesday,Tuesday,7 days
Grand Forks,Estados Unidos,1456,1193.1,Air France,GFK,2023-10-02,2023-10-09,http://kayak.com/flights/LIS-GFK/2023-10-02/2023-10-09/,1193.1,1,2023,10,LIS,1201.73,1201.73,1201.73,2023-03-24 20:14:07,True,-8.63000000000011,-0.7181313606217794,Monday,Monday,7 days
Porto Seguro,Brasil,1745,1184.83,Azul,BPS,2024-03-04,2024-03-10,http://kayak.com/flights/LIS-BPS/2024-03-04/2024-03-10/,1184.83,1,2024,3,LIS,1193.4,1194.365,1193.4,2023-03-24 20:14:07,True,-8.570000000000164,-0.718116306351614,Monday,Sunday,6 days
Vasco da Gama,Índia,2240,806.13,Várias companhias aéreas,GOI,2023-07-31,2023-08-04,http://kayak.com/flights/LIS-GOI/2023-07-31/2023-08-04/,806.13,1,2023,7,LIS,811.96,811.96,811.96,2023-03-24 20:14:07,True,-5.830000000000041,-0.7180156657963497,Monday,Friday,4 days
Tacloban City,Filipinas,2030,1765.75,Várias companhias aéreas,TAC,2023-03-28,2023-04-04,http://kayak.com/flights/LIS-TAC/2023-03-28/2023-04-04/,1765.75,1,2023,3,LIS,1778.52,1780.9857142857143,1778.52,2023-03-24 20:14:07,True,-12.769999999999982,-0.7180127296853553,Tuesday,Tuesday,7 days
Brindisi,Itália,655,161.78,Várias companhias aéreas,BDS,2023-11-08,2023-11-12,http://kayak.com/flights/LIS-BDS/2023-11-08/2023-11-12/,161.78,1,2023,11,LIS,162.95,162.95,162.95,2023-03-24 20:14:07,True,-1.1699999999999875,-0.718011660018403,Wednesday,Sunday,4 days
Tampere,Finlândia,1945,323.56,Várias companhias aéreas,TMP,2023-04-16,2023-04-23,http://kayak.com/flights/LIS-TMP/2023-04-16/2023-04-23/,323.56,1,2023,4,LIS,325.9,432.25947368421055,415.33,2023-03-24 20:14:07,True,-2.339999999999975,-0.718011660018403,Sunday,Sunday,7 days
Governador Valadares,Brasil,2080,1442.2,Várias companhias aéreas,GVR,2023-04-30,2023-05-07,http://kayak.com/flights/LIS-GVR/2023-04-30/2023-05-07/,1442.2,1,2023,4,LIS,1452.63,1452.63,1452.63,2023-03-24 20:14:07,True,-10.430000000000064,-0.7180080268203233,Sunday,Sunday,7 days
Fort Myers,Estados Unidos,1273,477.06,American Airlines,RSW,2023-05-16,2023-05-23,http://kayak.com/flights/LIS-RSW/2023-05-16/2023-05-23/,477.06,1,2023,5,LIS,480.51,486.3757142857143,486.78,2023-03-24 20:14:07,True,-3.4499999999999886,-0.717987138665166,Tuesday,Tuesday,7 days
Nashville,Estados Unidos,1648,948.6,Várias companhias aéreas,BNA,2023-08-17,2023-08-21,http://kayak.com/flights/LIS-BNA/2023-08-17/2023-08-21/,948.6,1,2023,8,LIS,955.46,955.46,955.46,2023-03-24 20:14:07,True,-6.860000000000014,-0.7179787746216496,Thursday,Monday,4 days
Varna,Bulgária,1645,457.76,Várias companhias aéreas,VAR,2023-07-31,2023-08-06,http://kayak.com/flights/LIS-VAR/2023-07-31/2023-08-06/,457.76,1,2023,7,LIS,461.07,461.07,461.07,2023-03-24 20:14:07,True,-3.3100000000000023,-0.7178953304270507,Monday,Sunday,6 days
Fargo,Estados Unidos,2361,759.25,American Airlines,FAR,2023-10-23,2023-10-28,http://kayak.com/flights/LIS-FAR/2023-10-23/2023-10-28/,759.25,1,2023,10,LIS,764.74,764.74,764.74,2023-03-24 20:14:07,True,-5.490000000000009,-0.7178910479378624,Monday,Saturday,5 days
Koh Samui,Tailândia,1970,907.24,KLM,USM,2023-09-02,2023-09-09,http://kayak.com/flights/LIS-USM/2023-09-02/2023-09-09/,907.24,1,2023,9,LIS,913.8,913.8,913.8,2023-03-24 20:14:07,True,-6.559999999999945,-0.7178813744801867,Saturday,Saturday,7 days
Kahului,Estados Unidos,2021,904.48,KLM,OGG,2023-04-19,2023-04-26,http://kayak.com/flights/LIS-OGG/2023-04-19/2023-04-26/,904.48,1,2023,4,LIS,911.02,1108.8938095238095,1124.44,2023-03-24 20:14:07,True,-6.539999999999964,-0.717876665715348,Wednesday,Wednesday,7 days
Foggia,Itália,1500,432.94,Várias companhias aéreas,FOG,2023-04-08,2023-04-14,http://kayak.com/flights/LIS-FOG/2023-04-08/2023-04-14/,432.94,1,2023,4,LIS,436.07,455.3128571428571,461.73,2023-03-24 20:14:07,True,-3.1299999999999955,-0.7177746692044845,Saturday,Friday,6 days
