City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Hachijo,Japão,1390,1291.55,ANA,HAC,2023-07-03,2023-07-09,http://kayak.com/flights/OPO-HAC/2023-07-03/2023-07-09/,1291.55,1.0,2023,7,OPO,1291.76,1291.76,1291.76,2023-03-20 02:40:41,True,-0.21000000000003638,-0.016256889824738063
Parikia,Grécia,1115,493.0,Várias companhias aéreas,PAS,2023-04-23,2023-04-29,http://kayak.com/flights/OPO-PAS/2023-04-23/2023-04-29/,493.0,1.0,2023,4,OPO,493.08,871.7542857142859,1022.32,2023-03-20 02:40:41,True,-0.07999999999998408,-0.016224547740728498
Chania,Grécia,2085,185.58,Várias companhias aéreas,CHQ,2023-09-18,2023-09-25,http://kayak.com/flights/OPO-CHQ/2023-09-18/2023-09-25/,185.58,1.0,2023,9,OPO,185.61,398.6353488372093,305.81,2023-03-20 02:40:41,True,-0.030000000000001137,-0.01616292225634456
Wellington,Nova Zelândia,2915,2227.87,British Airways,WLG,2023-09-11,2023-09-18,http://kayak.com/flights/OPO-WLG/2023-09-11/2023-09-18/,2227.87,1.0,2023,9,OPO,2228.23,2228.23,2228.23,2023-03-20 02:40:41,True,-0.36000000000012733,-0.016156321385141
Nosy Be,Madagáscar,3240,2227.87,Várias companhias aéreas,NOS,2023-08-01,2023-08-06,http://kayak.com/flights/OPO-NOS/2023-08-01/2023-08-06/,2227.87,1.0,2023,8,OPO,2228.23,2228.23,2228.23,2023-03-20 02:40:41,True,-0.36000000000012733,-0.016156321385141
Fortaleza,Brasil,2485,744.19,Air France,FOR,2024-02-08,2024-02-15,http://kayak.com/flights/OPO-FOR/2024-02-08/2024-02-15/,744.19,1.0,2024,2,OPO,744.31,748.632,749.59,2023-03-20 02:40:41,True,-0.11999999999989086,-0.016122314626955285
Toronto,Canadá,1000,372.1,Várias companhias aéreas,YYZ,2023-09-20,2023-09-25,http://kayak.com/flights/OPO-YYZ/2023-09-20/2023-09-25/,372.1,1.0,2023,9,OPO,372.16,458.16739130434786,469.25,2023-03-20 02:40:41,True,-0.060000000000002274,-0.016122098022356587
Albuquerque,Estados Unidos,1599,682.33,Várias companhias aéreas,ABQ,2023-04-18,2023-04-25,http://kayak.com/flights/OPO-ABQ/2023-04-18/2023-04-25/,682.33,1.0,2023,4,OPO,682.44,682.44,682.44,2023-03-20 02:40:41,True,-0.11000000000001364,-0.016118633139911732
Asahikawa,Japão,2500,2545.6,Várias companhias aéreas,AKJ,2023-03-26,2023-04-02,http://kayak.com/flights/OPO-AKJ/2023-03-26/2023-04-02/,2545.6,1.0,2023,3,OPO,2546.01,2546.01,2546.01,2023-03-20 02:40:41,True,-0.41000000000030923,-0.016103628815295666
Montreal,Canadá,1150,373.03,Várias companhias aéreas,YUL,2023-09-18,2023-09-25,http://kayak.com/flights/OPO-YUL/2023-09-18/2023-09-25/,373.03,1.0,2023,9,OPO,373.09,471.6195652173913,385.54,2023-03-20 02:40:41,True,-0.060000000000002274,-0.01608191053097169
Aomori,Japão,2670,12158.14,Várias companhias aéreas,AOJ,2023-03-26,2023-04-02,http://kayak.com/flights/OPO-AOJ/2023-03-26/2023-04-02/,12158.14,1.0,2023,3,OPO,12160.09,12160.09,12160.09,2023-03-20 02:40:41,True,-1.9500000000007276,-0.016036065522547344
Phuket,Tailândia,2315,1060.05,KLM,HKT,2023-08-28,2023-09-03,http://kayak.com/flights/OPO-HKT/2023-08-28/2023-09-03/,1060.05,1.0,2023,8,OPO,1060.22,1120.558,1092.22,2023-03-20 02:40:41,True,-0.17000000000007276,-0.016034407953073208
Tacloban City,Filipinas,2120,1810.79,Várias companhias aéreas,TAC,2023-11-07,2023-11-14,http://kayak.com/flights/OPO-TAC/2023-11-07/2023-11-14/,1810.79,1.0,2023,11,OPO,1811.08,1811.08,1811.08,2023-03-20 02:40:41,True,-0.2899999999999636,-0.01601254500077101
Perugia,Itália,830,187.46,Ryanair,PEG,2023-04-28,2023-05-02,http://kayak.com/flights/OPO-PEG/2023-04-28/2023-05-02/,187.46,1.0,2023,4,OPO,187.49,260.88,296.85,2023-03-20 02:40:41,True,-0.030000000000001137,-0.016000853378847477
Filadélfia,Estados Unidos,1077,625.16,Delta,PHL,2023-09-06,2023-09-13,http://kayak.com/flights/OPO-PHL/2023-09-06/2023-09-13/,625.16,1.0,2023,9,OPO,625.26,625.26,625.26,2023-03-20 02:40:41,True,-0.10000000000002274,-0.015993346767748256
Acra,Gana,1145,1313.11,Várias companhias aéreas,ACC,2023-03-27,2023-03-31,http://kayak.com/flights/OPO-ACC/2023-03-27/2023-03-31/,1313.11,1.0,2023,3,OPO,1313.32,1313.32,1313.32,2023-03-20 02:40:41,True,-0.21000000000003638,-0.01599001005086623
Taipé,Taiwan,1715,1688.95,Várias companhias aéreas,TPE,2023-08-26,2023-09-01,http://kayak.com/flights/OPO-TPE/2023-08-26/2023-09-01/,1688.95,1.0,2023,8,OPO,1689.22,1689.22,1689.22,2023-03-20 02:40:41,True,-0.2699999999999818,-0.015983708457156666
Kahului,Estados Unidos,2242,1063.8,Lufthansa,OGG,2023-04-18,2023-04-25,http://kayak.com/flights/OPO-OGG/2023-04-18/2023-04-25/,1063.8,1.0,2023,4,OPO,1063.97,1063.97,1063.97,2023-03-20 02:40:41,True,-0.17000000000007276,-0.015977894113562673
Adelaide,Austrália,2065,1752.68,Turkish Airlines,ADL,2023-04-16,2023-04-23,http://kayak.com/flights/OPO-ADL/2023-04-16/2023-04-23/,1752.68,1.0,2023,4,OPO,1752.96,1897.81,1994.35,2023-03-20 02:40:41,True,-0.2799999999999727,-0.015972982840451164
Calamata,Grécia,795,564.24,Transavia,KLX,2023-09-24,2023-09-30,http://kayak.com/flights/OPO-KLX/2023-09-24/2023-09-30/,564.24,1.0,2023,9,OPO,564.33,564.33,564.33,2023-03-20 02:40:41,True,-0.09000000000003183,-0.015948115464361604
Teresina,Brasil,1675,1191.26,Azul,THE,2023-04-18,2023-04-24,http://kayak.com/flights/OPO-THE/2023-04-18/2023-04-24/,1191.26,1.0,2023,4,OPO,1191.45,1191.45,1191.45,2023-03-20 02:40:41,True,-0.19000000000005457,-0.01594695539049516
Manaus,Brasil,1890,1191.26,Azul,MAO,2023-07-04,2023-07-11,http://kayak.com/flights/OPO-MAO/2023-07-04/2023-07-11/,1191.26,1.0,2023,7,OPO,1191.45,1383.578,1426.52,2023-03-20 02:40:41,True,-0.19000000000005457,-0.01594695539049516
Cartagena,Colômbia,1090,1003.81,Várias companhias aéreas,CTG,2023-12-25,2024-01-01,http://kayak.com/flights/OPO-CTG/2023-12-25/2024-01-01/,1003.81,1.0,2023,12,OPO,1003.97,1003.97,1003.97,2023-03-20 02:40:41,True,-0.16000000000008185,-0.015936731177234563
Cataratas Vitória,Zimbábue,2510,1632.71,SWISS,VFA,2023-10-17,2023-10-22,http://kayak.com/flights/OPO-VFA/2023-10-17/2023-10-22/,1632.71,1.0,2023,10,OPO,1632.97,1632.97,1632.97,2023-03-20 02:40:41,True,-0.2599999999999909,-0.015921909159383876
